molecular_weight,alogp,topological_polar_surface_area,hydrogen_bond_donors,hydrogen_bond_acceptors,MolWt_rdkit,LogP_rdkit,TPSA_rdkit,HDonors_rdkit,HAcceptors_rdkit,RotBonds_rdkit,Lipinski_violations,Lipinski_pass,Veber_pass,Triage_label
101.19,1.25,12.03,1,1,101.19299999999998,1.2519,12.03,1.0,1.0,3.0,0,True,True,High-priority
102.09,-0.25,43.37,0,3,102.08899999999998,-0.2516,43.370000000000005,0.0,3.0,2.0,0,True,True,High-priority
108.14,1.7,9.23,0,1,108.13999999999996,1.6952,9.23,0.0,1.0,1.0,0,True,True,High-priority
108.18,2.67,0.0,0,0,108.18399999999998,2.6728000000000014,0.0,0.0,0.0,0.0,0,True,True,High-priority
111.1,-0.24,72.03,2,4,111.104,-0.2356000000000001,72.03,2.0,4.0,0.0,0,True,True,High-priority
112.13,1.04,37.3,1,1,112.128,1.0372,37.3,1.0,1.0,1.0,0,True,True,High-priority
114.23,3.08,0.0,0,0,114.232,3.0786000000000016,0.0,0.0,0.0,3.0,0,True,True,High-priority
118.13,0.23,57.53,2,2,118.13199999999998,0.2319999999999999,57.53,2.0,2.0,3.0,0,True,True,High-priority
122.21,2.92,0.0,0,0,122.21099999999996,2.918800000000002,0.0,0.0,0.0,1.0,0,True,True,High-priority
124.14,0.16,34.89,0,3,124.14299999999996,0.1614999999999998,34.89,0.0,2.0,2.0,0,True,True,High-priority
125.13,-0.07,37.38,0,2,125.12699999999997,-0.0686999999999999,37.38,0.0,2.0,1.0,0,True,True,High-priority
127.19,0.43,61.9,3,3,127.191,0.4340700000000002,61.9,3.0,3.0,3.0,0,True,True,High-priority
128.13,-0.15,46.53,1,3,128.12699999999998,-0.1479999999999999,46.53,1.0,3.0,1.0,0,True,True,High-priority
128.21,2.12,20.23,1,1,128.21499999999995,2.1152,20.23,1.0,1.0,5.0,0,True,True,High-priority
130.19,1.6,26.3,0,2,130.18699999999998,1.5956,26.3,0.0,2.0,3.0,0,True,True,High-priority
131.18,2.14,23.79,0,1,131.17799999999997,2.14278,23.79,0.0,1.0,2.0,0,True,True,High-priority
135.13,1.15,54.71,1,3,135.126,1.1455,54.71,1.0,3.0,1.0,0,True,True,High-priority
135.13,0.93,51.81,0,4,135.126,0.9262199999999998,51.81,0.0,4.0,0.0,0,True,True,High-priority
135.13,0.21,65.67,2,3,135.126,0.20695,65.67,2.0,3.0,0.0,0,True,True,High-priority
136.24,1.55,23.06,0,2,136.241,1.5467,23.06,0.0,2.0,2.0,0,True,True,High-priority
138.21,2.08,17.82,0,2,138.214,2.08084,17.82,0.0,1.0,1.0,0,True,True,High-priority
139.24,1.93,12.03,1,1,139.242,1.9286,12.03,1.0,1.0,0.0,0,True,True,High-priority
142.16,2.04,39.58,1,1,142.16099999999997,2.03958,39.58,1.0,1.0,0.0,0,True,True,High-priority
154.25,2.67,20.23,1,1,154.253,2.6698000000000013,20.23,1.0,1.0,4.0,0,True,True,High-priority
